date,median,lower_95,upper_95
2020-04-21,0.019734349999999998,1.781173e-4,0.3025828999999999
2020-04-22,0.01815965,1.332151e-4,0.27330369999999987
2020-04-23,0.01715765,1.1186505000000002e-4,0.25158602499999966
2020-04-24,0.016446549999999997,9.499107e-5,0.23999669999999956
2020-04-25,0.015457450000000001,8.217422749999999e-5,0.2410510499999993
2020-04-26,0.01546125,7.5696665e-5,0.2401086249999998
2020-04-27,0.015195,7.658171000000001e-5,0.2444094749999998
2020-04-28,0.0156232,7.0146035e-5,0.25115079999999973
2020-04-29,0.01658735,6.839152e-5,0.26431655
2020-04-30,0.017905400000000002,7.22310575e-5,0.2701720249999994
2020-05-01,0.01945125,7.220563750000002e-5,0.29684667499999995
2020-05-02,0.02101055,7.66260425e-5,0.2997383499999997
2020-05-03,0.023105050000000002,8.724023e-5,0.3223596999999998
2020-05-04,0.0254396,1.1652360000000001e-4,0.34405602499999893
2020-05-05,0.02886895,1.322859e-4,0.37537024999999974
2020-05-06,0.03251095,1.5052877500000003e-4,0.394921975
2020-05-07,0.037745799999999996,1.9077677500000002e-4,0.4350049249999999
2020-05-08,0.044327649999999996,2.5664374999999996e-4,0.47966079999999883
2020-05-09,0.0528463,3.287629e-4,0.5421668999999998
2020-05-10,0.061651399999999995,4.5902762500000003e-4,0.6035516499999997
2020-05-11,0.0728829,5.889288999999999e-4,0.6727927999999993
2020-05-12,0.08466425,7.806629e-4,0.7267537749999999
2020-05-13,0.0986981,0.00105829175,0.8030320999999998
2020-05-14,0.1182485,0.00150783425,0.9077666999999997
2020-05-15,0.1438935,0.0021147455,1.0061309999999994
2020-05-16,0.1694905,0.003019896,1.1105107499999998
2020-05-17,0.1963045,0.004034338,1.2265214999999994
2020-05-18,0.22514299999999998,0.0051285035,1.383282749999999
2020-05-19,0.265753,0.0067377615,1.5679194999999995
2020-05-20,0.30150699999999997,0.010051312500000001,1.6124294999999986
2020-05-21,0.33396,0.013676319999999999,1.662257499999998
2020-05-22,0.37433099999999997,0.019782209999999998,1.7528617499999983
2020-05-23,0.412719,0.025598620000000002,1.7901702499999999
2020-05-24,0.4356065,0.035328335,1.8064974999999994
2020-05-25,0.459353,0.043785487500000005,1.8755252499999986
2020-05-26,0.4783215,0.0549489325,1.8067449999999963
2020-05-27,0.5035609999999999,0.06483580000000001,1.7578264999999993
2020-05-28,0.506756,0.07346586249999999,1.8098122499999976
2020-05-29,0.506521,0.07625233749999999,1.74652825
2020-05-30,0.49416400000000005,0.08928611249999999,1.7315094999999996
2020-05-31,0.4814025,0.08199666750000001,1.7324407499999999
2020-06-01,0.4714515,0.07666989,1.7469547499999987
2020-06-02,0.45776700000000003,0.0745032875,1.6589272499999987
2020-06-03,0.45124450000000005,0.0722157425,1.7035849999999986
2020-06-04,0.445681,0.068179305,1.7137302499999976
2020-06-05,0.44642550000000003,0.063878935,1.7544122499999986
2020-06-06,0.457348,0.061392669999999996,1.8937139999999975
2020-06-07,0.4677015,0.0648116925,1.9665937499999928
2020-06-08,0.4868345,0.06272649,2.1171547499999996
2020-06-09,0.515206,0.061845660000000004,2.1294272499999995
2020-06-10,0.5546685,0.059580654999999996,2.1812022499999935
2020-06-11,0.581163,0.0582026675,2.307318499999997
2020-06-12,0.6191145,0.0536691325,2.471080499999998
2020-06-13,0.6373615,0.045071129999999994,2.525015249999998
2020-06-14,0.655744,0.0352258325,2.620326249999998
2020-06-15,0.6598765,0.033004245,2.6441459999999966
2020-06-16,0.6521625,0.02675896,2.6516354999999994
2020-06-17,0.6448885,0.0218166625,2.6838847499999994
2020-06-18,0.6313709999999999,0.0160058825,2.6234152499999976
2020-06-19,0.6131095,0.012872985000000002,2.518234999999996
2020-06-20,0.595575,0.010958972500000002,2.4331672499999986
2020-06-21,0.5789839999999999,0.008653103499999999,2.3252005
2020-06-22,0.5632090000000001,0.0074318025,2.2140684999999913
2020-06-23,0.5441689999999999,0.00632906225,2.1176757499999925
2020-06-24,0.5339430000000001,0.00535409375,2.1300672499999993
2020-06-25,0.5203994999999999,0.004030276000000001,2.0638384999999992
2020-06-26,0.486433,0.003197395,1.972544749999998
2020-06-27,0.457289,0.00258759475,1.9111974999999999
2020-06-28,0.4172135,0.0023128135,1.7892089999999996
2020-06-29,0.3629785,0.00194935,1.5902982499999978
2020-06-30,0.31518,0.0016512912500000001,1.4702797499999987
2020-07-01,0.273171,0.0013834595,1.3005542499999971
2020-07-02,0.2325855,0.0013723540000000001,1.09485825
2020-07-03,0.1933315,0.001443504,0.8593853749999992
2020-07-04,0.15997250000000002,0.0014779095,0.7466014249999999
2020-07-05,0.135244,0.001437398,0.6304657749999998
2020-07-06,0.11643700000000001,0.0016409360000000002,0.5921457499999996
2020-07-07,0.102756,0.0017444035000000002,0.5163810249999996
2020-07-08,0.0937656,0.0017225095,0.45815699999999976
2020-07-09,0.0874341,0.00207263875,0.4243994499999999
2020-07-10,0.0846711,0.002502576,0.41003424999999993
